,dt_start_hour,h3_hexagon_id_start,id
0,0,871f18840ffffff,1.0
1,1,871f18840ffffff,0.0
2,2,871f18840ffffff,0.0
3,3,871f18840ffffff,0.0
4,4,871f18840ffffff,0.0
5,5,871f18840ffffff,0.0
6,6,871f18840ffffff,1.0
7,7,871f18840ffffff,1.0
8,8,871f18840ffffff,1.0
9,9,871f18840ffffff,0.0
10,10,871f18840ffffff,1.0
11,11,871f18840ffffff,1.0
12,12,871f18840ffffff,1.0
13,13,871f18840ffffff,1.0
14,14,871f18840ffffff,1.0
15,15,871f18840ffffff,1.0714285714285714
16,16,871f18840ffffff,1.24
17,17,871f18840ffffff,1.4736842105263157
18,18,871f18840ffffff,1.35
19,19,871f18840ffffff,1.0
20,20,871f18840ffffff,1.25
21,21,871f18840ffffff,0.0
22,22,871f18840ffffff,1.0
23,23,871f18840ffffff,0.0
0,0,,0.0
1,1,,0.0
2,2,,0.0
3,3,,0.0
4,4,871f18841ffffff,1.0
5,5,871f18841ffffff,0.0
6,6,871f18841ffffff,1.0
7,7,871f18841ffffff,1.0
8,8,871f18841ffffff,1.0
9,9,871f18841ffffff,1.0
10,10,871f18841ffffff,1.0
11,11,871f18841ffffff,1.0
12,12,871f18841ffffff,1.0
13,13,871f18841ffffff,1.0
14,14,871f18841ffffff,1.0
15,15,871f18841ffffff,1.0
16,16,871f18841ffffff,1.4
17,17,871f18841ffffff,1.2222222222222223
18,18,871f18841ffffff,1.2592592592592593
19,19,871f18841ffffff,1.2307692307692308
20,20,871f18841ffffff,1.25
21,21,871f18841ffffff,1.0
22,22,871f18841ffffff,1.0
23,23,871f18841ffffff,1.0
0,0,871f18869ffffff,1.6875
1,1,871f18869ffffff,1.5517241379310345
2,2,871f18869ffffff,1.4166666666666667
3,3,871f18869ffffff,1.4166666666666667
4,4,871f18869ffffff,1.6451612903225807
5,5,871f18869ffffff,1.4285714285714286
6,6,871f18869ffffff,1.3157894736842106
7,7,871f18869ffffff,2.020408163265306
8,8,871f18869ffffff,1.9166666666666667
9,9,871f18869ffffff,1.9152542372881356
10,10,871f18869ffffff,2.081967213114754
11,11,871f18869ffffff,2.3733333333333335
12,12,871f18869ffffff,2.036144578313253
13,13,871f18869ffffff,2.7790697674418605
14,14,871f18869ffffff,2.5
15,15,871f18869ffffff,2.8160919540229883
16,16,871f18869ffffff,2.864864864864865
17,17,871f18869ffffff,3.043010752688172
18,18,871f18869ffffff,2.802325581395349
19,19,871f18869ffffff,2.5925925925925926
20,20,871f18869ffffff,1.986842105263158
21,21,871f18869ffffff,1.8428571428571427
22,22,871f18869ffffff,1.75
23,23,871f18869ffffff,1.5625
0,0,871f1886bffffff,1.6333333333333333
1,1,871f1886bffffff,1.2647058823529411
2,2,871f1886bffffff,1.1818181818181819
3,3,871f1886bffffff,1.4
4,4,871f1886bffffff,1.1111111111111112
5,5,871f1886bffffff,1.0588235294117647
6,6,871f1886bffffff,1.25
7,7,871f1886bffffff,1.4210526315789473
8,8,871f1886bffffff,1.4901960784313726
9,9,871f1886bffffff,1.4
10,10,871f1886bffffff,1.2682926829268293
11,11,871f1886bffffff,1.456140350877193
12,12,871f1886bffffff,1.4
13,13,871f1886bffffff,1.5
14,14,871f1886bffffff,1.4736842105263157
15,15,871f1886bffffff,1.5636363636363637
16,16,871f1886bffffff,1.7936507936507937
17,17,871f1886bffffff,1.8095238095238095
18,18,871f1886bffffff,1.8421052631578947
19,19,871f1886bffffff,1.8732394366197183
20,20,871f1886bffffff,1.75
21,21,871f1886bffffff,1.911764705882353
22,22,871f1886bffffff,1.7291666666666667
23,23,871f1886bffffff,1.38
0,0,,0.0
1,1,,0.0
2,2,,0.0
3,3,,0.0
4,4,,0.0
5,5,,0.0
6,6,,0.0
7,7,,0.0
8,8,,0.0
9,9,,0.0
10,10,,0.0
11,11,,0.0
12,12,,0.0
13,13,,0.0
14,14,,0.0
15,15,,0.0
16,16,,0.0
17,17,,0.0
18,18,,0.0
19,19,,0.0
20,20,,0.0
21,21,,0.0
22,22,,0.0
23,23,871f18b01ffffff,1.0
0,0,,0.0
1,1,,0.0
2,2,,0.0
3,3,,0.0
4,4,,0.0
5,5,,0.0
6,6,,0.0
7,7,,0.0
8,8,,0.0
9,9,,0.0
10,10,,0.0
11,11,871f18b02ffffff,1.0
12,12,871f18b02ffffff,0.0
13,13,871f18b02ffffff,0.0
14,14,871f18b02ffffff,0.0
15,15,871f18b02ffffff,0.0
16,16,871f18b02ffffff,0.0
17,17,871f18b02ffffff,0.0
18,18,871f18b02ffffff,0.0
